,Actual,Predicted
114,53871174,92546152.9948788
115,56874765,92546152.35729985
116,111809148,92546151.80996294
117,199820646,92546151.34009534
118,110300850,92546150.93673214
119,117071565,92546150.5904604
120,123267519,92546150.2931995
121,81408717,92546150.03801247
122,71196474,92546149.81894428
123,90623880,92546149.63088268
124,197758590,92546149.46943907
125,268189377,92546149.33084595
126,155360874,92546149.21186912
127,202569984,92546149.1097321
128,181817016,92546149.02205141
129,108761676,92546148.94678092
130,100751520,92546148.88216412
131,88270437,92546148.82669309
132,96587016,92546148.77907334
133,121117359,92546148.73819365
134,100107066,92546148.70309998
135,128681934,92546148.67297344
136,118536663,92546148.64711097
137,91475610,92546148.62490903
138,101385522,92546148.60584952
139,117674550,92546148.58948767
140,101558481,92546148.57544166
141,85910955,92546148.5633837
142,118297077,92546148.5530324
143,100011864,92546148.54414621
144,105895134,92546148.53651777
145,125528301,92546148.52996904
146,84815517,92546148.5243472
147,78928299,92546148.51952107
148,71772987,92546148.51537804
149,64311261,92546148.51182139
150,87407010,92546148.50876816
151,133958424,92546148.50614707
152,147052302,92546148.50389697
153,83546700,92546148.50196534
154,83938578,92546148.50030711
155,119058678,92546148.49888359
156,106827114,92546148.49766155
157,93646542,92546148.49661247
158,106770765,92546148.49571188
159,85241667,92546148.49493876
160,93115506,92546148.49427506
161,88310985,92546148.49370532
162,66813141,92546148.4932162
163,86536347,92546148.49279632
164,122276166,92546148.49243586
165,81129429,92546148.49212642
166,89217957,92546148.49186078
167,65705682,92546148.49163274
168,83353857,92546148.49143697
169,70407516,92546148.49126892
170,94177251,92546148.49112464
171,139511688,92546148.4910008
172,101470938,92546148.49089448
173,132554748,92546148.4908032
174,100112568,92546148.49072485
175,97171080,92546148.49065758
176,110491701,92546148.49059984
177,118735185,92546148.49055028
178,92463357,92546148.49050772
179,78091785,92546148.49047118
180,103674267,92546148.49043983
181,84017799,92546148.4904129
182,85917915,92546148.4903898
183,79111779,92546148.49036996
184,68211114,92546148.49035293
185,54254670,92546148.4903383
186,69908337,92546148.49032575
187,90335679,92546148.49031498
188,72110688,92546148.49030572
189,67631046,92546148.49029778
190,78160215,92546148.49029097
191,49753698,92546148.49028511
192,71758818,92546148.49028009
193,48615909,92546148.49027577
194,61271949,92546148.49027207
195,53292435,92546148.4902689
196,66432381,92546148.49026617
197,68104050,92546148.49026382
198,73682715,92546148.49026181
199,74438223,92546148.4902601
200,57476676,92546148.4902586
201,93297684,92546148.49025734
202,137947158,92546148.49025624
203,97490121,92546148.49025531
204,64884477,92546148.4902545
205,52143939,92546148.4902538
206,56774586,92546148.49025321
207,55903566,92546148.4902527
208,81292122,92546148.49025227
209,69853350,92546148.4902519
210,56375880,92546148.49025157
211,68319948,92546148.4902513
212,54421644,92546148.49025106
213,77781126,92546148.49025086
214,62898276,92546148.49025068
215,64923570,92546148.49025053
216,60628713,92546148.4902504
217,49112910,92546148.49025029
218,63891270,92546148.4902502
219,46461381,92546148.49025011
220,41860014,92546148.49025004
221,45317181,92546148.49024998
222,43814832,92546148.49024993
223,76009668,92546148.49024989
224,98439870,92546148.49024984
225,48019788,92546148.49024981
226,91183911,92546148.49024978
227,88969233,92546148.49024977
228,100847295,92546148.49024974
229,64860759,92546148.49024972
230,51007941,92546148.49024971
231,38758911,92546148.4902497
232,46869147,92546148.4902497
233,44146047,92546148.49024968
234,40296915,92546148.49024966
235,29401674,92546148.49024966
236,53045058,92546148.49024965
237,50194401,92546148.49024965
238,69309909,92546148.49024965
239,71163837,92546148.49024965
240,61048125,92546148.49024963
241,42940458,92546148.49024963
242,44525595,92546148.49024963
243,60794577,92546148.49024963
244,39249213,92546148.49024963
245,37936686,92546148.49024963
246,39642876,92546148.49024963
247,41501289,92546148.49024962
248,55812660,92546148.49024962
249,62566308,92546148.49024962
250,39613005,92546148.49024962
251,38390217,92546148.49024962
252,45813135,92546148.49024962
253,60119475,92546148.49024962
254,56379108,92546148.49024962
255,42233193,92546148.49024962
256,45552510,92546148.49024962
257,68857446,92546148.49024962
258,55574643,92546148.49024962
259,46073055,92546148.49024962
260,41770179,92546148.49024962
261,84612528,92546148.49024962
262,74272956,92546148.49024962
263,48992169,92546148.49024962
264,45378816,92546148.49024962
265,35842581,92546148.49024962
266,64119066,92546148.49024962
267,84211971,92546148.49024962
268,76144266,92546148.49024962
269,62828631,92546148.49024962
270,53867883,92546148.49024962
271,51094242,92546148.49024962
272,91450023,92546148.49024962
273,55297875,92546148.49024962
274,43898304,92546148.49024962
275,57587346,92546148.49024962
276,50215812,92546148.49024962
277,42600966,92546148.49024962
278,66060120,92546148.49024962
279,42360225,92546148.49024962
280,36741510,92546148.49024962
281,56773701,92546148.49024962
282,72621732,92546148.49024962
283,52143384,92546148.49024962
284,42096156,92546148.49024962
285,94444362,92546148.49024962
286,68642505,92546148.49024962
287,188556297,92546148.49024962
288,187244904,92546148.49024962
289,115579377,92546148.49024962
290,81639519,92546148.49024962
291,89755251,92546148.49024962
292,168146148,92546148.49024962
293,128213391,92546148.49024962
294,103885557,92546148.49024962
295,76192230,92546148.49024962
296,64886436,92546148.49024962
297,100337145,92546148.49024962
298,177317508,92546148.49024962
299,128408166,92546148.49024962
300,67189704,92546148.49024962
301,76719444,92546148.49024962
302,104326947,92546148.49024962
303,79627077,92546148.49024962
304,94336095,92546148.49024962
305,62696790,92546148.49024962
306,64926774,92546148.49024962
307,99217527,92546148.49024962
308,108515100,92546148.49024962
309,67680714,92546148.49024962
310,35042670,92546148.49024962
311,58393401,92546148.49024962
312,81276114,92546148.49024962
313,68804094,92546148.49024962
314,73114869,92546148.49024962
315,92321985,92546148.49024962
316,81663111,92546148.49024962
317,56084571,92546148.49024962
318,41906370,92546148.49024962
319,59438496,92546148.49024962
320,59664366,92546148.49024962
321,78595506,92546148.49024962
322,70806270,92546148.49024962
323,75169230,92546148.49024962
324,82771449,92546148.49024962
325,100880262,92546148.49024962
326,56480013,92546148.49024962
327,71517915,92546148.49024962
328,93634086,92546148.49024962
329,92713287,92546148.49024962
330,71145819,92546148.49024962
331,60323907,92546148.49024962
332,56154045,92546148.49024962
333,47040939,92546148.49024962
334,40733625,92546148.49024962
335,104686047,92546148.49024962
336,100248258,92546148.49024962
337,80119797,92546148.49024962
338,90336474,92546148.49024962
339,84164748,92546148.49024962
340,91814877,92546148.49024962
341,66063210,92546148.49024962
342,83739015,92546148.49024962
343,97209792,92546148.49024962
344,72924411,92546148.49024962
345,66989409,92546148.49024962
346,75442488,92546148.49024962
347,70488744,92546148.49024962
348,103416027,92546148.49024962
349,152375142,92546148.49024962
350,86595906,92546148.49024962
351,104867283,92546148.49024962
352,147109569,92546148.49024962
353,134788950,92546148.49024962
354,104436096,92546148.49024962
355,73138338,92546148.49024962
356,66793035,92546148.49024962
357,78855558,92546148.49024962
358,73625466,92546148.49024962
359,60994464,92546148.49024962
360,50729013,92546148.49024962
361,52259544,92546148.49024962
362,66126831,92546148.49024962
363,79645869,92546148.49024962
364,67756416,92546148.49024962
365,57649542,92546148.49024962
366,51294396,92546148.49024962
367,55178418,92546148.49024962
368,68501841,92546148.49024962
369,83288202,92546148.49024962
370,95257008,92546148.49024962
371,135322275,92546148.49024962
372,76067763,92546148.49024962
373,99006867,92546148.49024962
374,74766861,92546148.49024962
375,74643438,92546148.49024962
376,61623507,92546148.49024962
377,67179861,92546148.49024962
378,72494172,92546148.49024962
379,80399106,92546148.49024962
380,59183979,92546148.49024962
381,58648644,92546148.49024962
382,67037166,92546148.49024962
383,71152263,92546148.49024962
384,66841143,92546148.49024962
385,84028821,92546148.49024962
386,66582972,92546148.49024962
387,100414191,92546148.49024962
388,81981648,92546148.49024962
389,105868557,92546148.49024962
390,120676149,92546148.49024962
391,68920878,92546148.49024962
392,62031546,92546148.49024962
393,102506079,92546148.49024962
394,73614819,92546148.49024962
395,59865006,92546148.49024962
396,48992757,92546148.49024962
397,54263223,92546148.49024962
398,82177701,92546148.49024962
399,80075019,92546148.49024962
400,89348535,92546148.49024962
401,79447059,92546148.49024962
402,55013688,92546148.49024962
403,59357205,92546148.49024962
404,65976096,92546148.49024962
405,55121211,92546148.49024962
406,58422405,92546148.49024962
407,51715221,92546148.49024962
408,49847832,92546148.49024962
409,70711326,92546148.49024962
410,105416337,92546148.49024962
411,69696558,92546148.49024962
412,68341335,92546148.49024962
413,136133667,92546148.49024962
414,76956396,92546148.49024962
415,124948527,92546148.49024962
416,88132995,92546148.49024962
417,75781371,92546148.49024962
418,63709575,92546148.49024962
419,81643704,92546148.49024962
420,92519193,92546148.49024962
421,72903111,92546148.49024962
422,90810222,92546148.49024962
423,84401631,92546148.49024962
424,97224459,92546148.49024962
425,140312862,92546148.49024962
426,92150724,92546148.49024962
427,86098539,92546148.49024962
428,80236110,92546148.49024962
429,87811812,92546148.49024962
430,90296673,92546148.49024962
431,144973305,92546148.49024962
432,88903638,92546148.49024962
433,89092515,92546148.49024962
434,92139324,92546148.49024962
435,106003344,92546148.49024962
436,89294982,92546148.49024962
437,101914371,92546148.49024962
438,77247963,92546148.49024962
439,93473118,92546148.49024962
440,112393737,92546148.49024962
441,84204522,92546148.49024962
442,72808602,92546148.49024962
443,76210620,92546148.49024962
444,96491307,92546148.49024962
445,98090898,92546148.49024962
446,102767262,92546148.49024962
447,97988796,92546148.49024962
448,119131935,92546148.49024962
449,107390700,92546148.49024962
450,92641770,92546148.49024962
451,122792955,92546148.49024962
452,101527260,92546148.49024962
453,104202678,92546148.49024962
454,95770695,92546148.49024962
455,89178312,92546148.49024962
456,90666501,92546148.49024962
457,82897254,92546148.49024962
458,94600452,92546148.49024962
459,74460444,92546148.49024962
460,84779112,92546148.49024962
461,71853630,92546148.49024962
462,81930690,92546148.49024962
463,101854086,92546148.49024962
464,99509220,92546148.49024962
465,87930960,92546148.49024962
466,97954497,92546148.49024962
467,78557499,92546148.49024962
468,69683019,92546148.49024962
469,82537428,92546148.49024962
470,80890110,92546148.49024962
471,88864089,92546148.49024962
472,142032177,92546148.49024962
473,103472847,92546148.49024962
474,64073505,92546148.49024962
475,66820758,92546148.49024962
